Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,0.566141,0.571559,0.526242,0.527676,0.527676,34688570
2020-08-14,0.527974,0.542598,0.510261,0.519978,0.519978,19371321
2020-08-15,0.519798,0.521232,0.508375,0.511841,0.511841,7021145
2020-08-16,0.512052,0.603196,0.509597,0.602702,0.602702,25319706
2020-08-17,0.602702,0.602702,0.547463,0.564197,0.564197,13749722
2020-08-18,0.564358,0.565744,0.524570,0.563460,0.563460,14899293
2020-08-19,0.563072,0.642898,0.498743,0.508157,0.508157,65606822
2020-08-20,0.508157,0.536762,0.506896,0.514732,0.514732,14522463
2020-08-21,0.514707,0.516277,0.428837,0.433145,0.433145,20202039
2020-08-22,0.433162,0.495610,0.416335,0.468402,0.468402,13705821
2020-08-23,0.468375,0.483875,0.453700,0.482799,0.482799,16506861
2020-08-24,0.483165,0.529345,0.480956,0.529345,0.529345,12485391
2020-08-25,0.529584,0.529586,0.452459,0.464317,0.464317,15158877
2020-08-26,0.464259,0.492733,0.462987,0.491105,0.491105,10472777
2020-08-27,0.495559,0.515334,0.475201,0.503859,0.503859,14991706
2020-08-28,0.504328,0.568606,0.503241,0.563494,0.563494,19624080
2020-08-29,0.564606,0.567523,0.516653,0.538372,0.538372,15615978
2020-08-30,0.538455,0.561160,0.525054,0.532386,0.532386,12985987
2020-08-31,0.532532,0.533007,0.509776,0.510621,0.510621,10519908
2020-09-01,0.510535,0.510607,0.477216,0.481460,0.481460,13606791
2020-09-02,0.481670,0.481670,0.426709,0.445431,0.445431,11976647
2020-09-03,0.445406,0.452005,0.383410,0.383508,0.383508,11895841
2020-09-04,0.382879,0.386195,0.366821,0.376441,0.376441,8780901
2020-09-05,0.376497,0.384946,0.330382,0.335342,0.335342,7806071
2020-09-06,0.335342,0.344830,0.320574,0.342084,0.342084,7010454
2020-09-07,0.342117,0.355883,0.309149,0.326114,0.326114,7396679
2020-09-08,0.325925,0.329677,0.309491,0.316848,0.316848,5797043
2020-09-09,0.316927,0.329375,0.310953,0.317388,0.317388,4667526
2020-09-10,0.317455,0.381527,0.317317,0.349891,0.349891,10150695
2020-09-11,0.349890,0.356698,0.315367,0.338888,0.338888,6544461
2020-09-12,0.338845,0.339771,0.321443,0.329701,0.329701,5839564
2020-09-13,0.329701,0.347515,0.301163,0.309017,0.309017,5729780
2020-09-14,0.309134,0.326319,0.308031,0.320063,0.320063,3546521
2020-09-15,0.320063,0.353967,0.307749,0.337586,0.337586,11377840
2020-09-16,0.337571,0.361134,0.319480,0.321150,0.321150,16487641
2020-09-17,0.321150,0.330609,0.311654,0.312424,0.312424,5778452
2020-09-18,0.312424,0.327857,0.310192,0.318896,0.318896,5208539
2020-09-19,0.319653,0.320628,0.307108,0.317884,0.317884,3348288
2020-09-20,0.317838,0.320905,0.304962,0.310363,0.310363,3553749
2020-09-21,0.310393,0.315456,0.289768,0.289768,0.289768,4497974
2020-09-22,0.289757,0.303410,0.289715,0.300502,0.300502,2469114
2020-09-23,0.300363,0.303103,0.290069,0.290504,0.290504,2070018
2020-09-24,0.290580,0.301781,0.287750,0.301772,0.301772,3230273
2020-09-25,0.302569,0.338895,0.290002,0.324191,0.324191,9852810
2020-09-26,0.324122,0.324122,0.310366,0.315955,0.315955,3818796
2020-09-27,0.315786,0.317040,0.309424,0.312751,0.312751,2045690
2020-09-28,0.312786,0.345541,0.312737,0.322960,0.322960,6530118
2020-09-29,0.322960,0.356442,0.322391,0.333529,0.333529,13268931
2020-09-30,0.333716,0.341066,0.326788,0.334583,0.334583,3935770
2020-10-01,0.334619,0.339803,0.312139,0.317876,0.317876,4058444
2020-10-02,0.318154,0.337117,0.291053,0.329457,0.329457,8412570
